/usr/bin/python3.8 /snap/pycharm-professional/240/plugins/python/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 45323 --file /home/bjk/Projects/mtkre/Loader/Preloader/preloader_emu_mmc.py
Connected to pydev debugger (build 211.6693.115)
UART: [SD0] Host controller intialization start [80]
READ of 0x11f300c0 at 0x220AB8, data size = 4, value: 0x1111611
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123000c at 0x21EC64, data size = 4, value: 0x1000
WRITE of 0x1123000c at 0x21EC68, data size = 4, value: 0x1000
READ of 0x11230014 at 0x21ED16, data size = 4, value: 0x80
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123000c at 0x21EC64, data size = 4, value: 0x0
WRITE of 0x1123000c at 0x21EC68, data size = 4, value: 0x0
READ of 0x11230014 at 0x21ED16, data size = 4, value: 0x40
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0xff010000
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0xff
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0xb030300
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x1030005
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x1010000
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x1
READ of 0x1123001c at 0x21ED38, data size = 4, value: 0x0
READ of 0x1123000c at 0x21EC64, data size = 4, value: 0x0
WRITE of 0x1123000c at 0x21EC68, data size = 4, value: 0x0
UART: 

[SD0] EXT_CSD_ERASE_GRP_DEF is Off, wp_size = 8192KB
UART: 

[SD0] csd.write_prot_grpsz = 15, csd.erase_sctsz = 1024
READ of 0x1123003c at 0x21EB0E, data size = 4, value: 0x0
WRITE of 0x11230038 at 0x21EB84, data size = 4, value: 0x3b90101
WRITE of 0x11230034 at 0x21EB86, data size = 4, value: 0x2000386
READ of 0x11230010 at 0x220BFA, data size = 4, value: 0x1ff7b
READ of 0x1123000c at 0x220C10, data size = 4, value: 0x100
WRITE of 0x1123000c at 0x220C5C, data size = 4, value: 0x100
READ of 0x11230040 at 0x21EBF8, data size = 4, value: 0x800
READ of 0x11230008 at 0x21EC0E, data size = 4, value: 0x81ff0002
READ of 0x1123003c at 0x21EB0E, data size = 4, value: 0x0
WRITE of 0x11230038 at 0x21EB84, data size = 4, value: 0x10000
WRITE of 0x11230034 at 0x21EB86, data size = 4, value: 0x200008d
READ of 0x11230010 at 0x220BFA, data size = 4, value: 0x1ff7b
READ of 0x1123000c at 0x220C10, data size = 4, value: 0x100
WRITE of 0x1123000c at 0x220C5C, data size = 4, value: 0x100
READ of 0x11230040 at 0x21EBF8, data size = 4, value: 0x900
UART: 

[SD0] Switch to High-Speed mode!
READ of 0x1123003c at 0x21EB0E, data size = 4, value: 0x0
WRITE of 0x11230038 at 0x21EB84, data size = 4, value: 0x3b70201
WRITE of 0x11230034 at 0x21EB86, data size = 4, value: 0x2000386
READ of 0x11230010 at 0x220BFA, data size = 4, value: 0x1ff7b
READ of 0x1123000c at 0x220C10, data size = 4, value: 0x100
WRITE of 0x1123000c at 0x220C5C, data size = 4, value: 0x100
READ of 0x11230040 at 0x21EBF8, data size = 4, value: 0x800
READ of 0x11230008 at 0x21EC0E, data size = 4, value: 0x81ff0002
READ of 0x1123003c at 0x21EB0E, data size = 4, value: 0x0
WRITE of 0x11230038 at 0x21EB84, data size = 4, value: 0x10000
WRITE of 0x11230034 at 0x21EB86, data size = 4, value: 0x200008d
READ of 0x11230010 at 0x220BFA, data size = 4, value: 0x1ff7b
READ of 0x1123000c at 0x220C10, data size = 4, value: 0x100
WRITE of 0x1123000c at 0x220C5C, data size = 4, value: 0x100
READ of 0x11230040 at 0x21EBF8, data size = 4, value: 0x900
UART: 

[SD0] Switch to SDR buswidth
READ of 0x11230000 at 0x21F214, data size = 4, value: 0x2017299
WRITE of 0x11230000 at 0x21F24E, data size = 4, value: 0x2017299
READ of 0x11230000 at 0x21F25A, data size = 4, value: 0x2017299
READ of 0x11230004 at 0x21E7EE, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21E80E, data size = 4, value: 0x0
READ of 0x11230000 at 0x21E7AE, data size = 4, value: 0x2017299
WRITE of 0x11230000 at 0x21E7CC, data size = 4, value: 0x2017299
READ of 0x11230004 at 0x21E8B4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21E8CE, data size = 4, value: 0x0
READ of 0x112300b0 at 0x21E8D0, data size = 4, value: 0x403c000e
WRITE of 0x112300b0 at 0x21E8EE, data size = 4, value: 0x403c0006
READ of 0x11230208 at 0x21E82C, data size = 4, value: 0xe88822
WRITE of 0x11230208 at 0x21E848, data size = 4, value: 0xe88822
READ of 0x112300b8 at 0x21E84E, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21E870, data size = 4, value: 0x3489180d
READ of 0x112300b0 at 0x21F2CE, data size = 4, value: 0x403c0006
WRITE of 0x112300b0 at 0x21F2F0, data size = 4, value: 0x403c000e
READ of 0x11230004 at 0x21F2F4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21F2FC, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EEA0, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EEC8, data size = 4, value: 0x3489180d
READ of 0x112300f0 at 0x21EECC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EED8, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEDC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEE2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEE4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEEA, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEEC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEF2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEF4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEFA, data size = 4, value: 0x0
READ of 0x112300f0 at 0x21EEFC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF24, data size = 4, value: 0x2000
READ of 0x112300f4 at 0x21EF28, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF30, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF34, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EF3C, data size = 4, value: 0x3489180d
READ of 0x11230004 at 0x21EF44, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EF4A, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF4C, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EF54, data size = 4, value: 0x3489180d
READ of 0x112300f0 at 0x21EF58, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF60, data size = 4, value: 0x200000
READ of 0x112300f4 at 0x21EF64, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF6C, data size = 4, value: 0x0
READ of 0x11230208 at 0x21EF7A, data size = 4, value: 0xe88822
WRITE of 0x11230208 at 0x21EF82, data size = 4, value: 0xe88822
READ of 0x112300b4 at 0x21EF86, data size = 4, value: 0xffe24340
WRITE of 0x112300b4 at 0x21EFA0, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFA4, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21EFBE, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFC2, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21EFDC, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFE0, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F000, data size = 4, value: 0xffe20340
READ of 0x112300b8 at 0x21F004, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F078, data size = 4, value: 0x3489180d
READ of 0x112300b8 at 0x21F07C, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F09A, data size = 4, value: 0x3489180d
READ of 0x112300b4 at 0x21F09E, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F0A6, data size = 4, value: 0xffe24340
READ of 0x112300b8 at 0x21F0AA, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F0B2, data size = 4, value: 0x3489180d
UART: 

[SD0] SET_CLK(260kHz): SCLK(259kHz) MODE(0) DDR(0) DIV(370) DS(0) RS(0)
READ of 0x11230030 at 0x21F37C, data size = 4, value: 0x0
WRITE of 0x11230030 at 0x21F392, data size = 4, value: 0x20000
READ of 0x1123003c at 0x21EB0E, data size = 4, value: 0x0
WRITE of 0x11230038 at 0x21EB84, data size = 4, value: 0x200
WRITE of 0x11230034 at 0x21EB86, data size = 4, value: 0x2000090
READ of 0x11230010 at 0x220BFA, data size = 4, value: 0x1ff7b
READ of 0x1123000c at 0x220C10, data size = 4, value: 0x100
WRITE of 0x1123000c at 0x220C5C, data size = 4, value: 0x100
READ of 0x11230040 at 0x21EBF8, data size = 4, value: 0x900
READ of 0x11230014 at 0x21E730, data size = 4, value: 0x0
WRITE of 0x11230014 at 0x21E736, data size = 4, value: 0x80000000
READ of 0x11230014 at 0x21E73E, data size = 4, value: 0x0
UART: 

[SD0] Size: 59640 MB, Max.Speed: 52000 kHz, blklen(512), nblks(122142720)
UART: 

[SD0] Initialized, eMMC50
READ of 0x11230000 at 0x21F214, data size = 4, value: 0x2017299
WRITE of 0x11230000 at 0x21F24E, data size = 4, value: 0x2000299
READ of 0x11230000 at 0x21F25A, data size = 4, value: 0x2000299
READ of 0x11230004 at 0x21E7EE, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21E80E, data size = 4, value: 0x0
READ of 0x11230000 at 0x21E7AE, data size = 4, value: 0x2000299
WRITE of 0x11230000 at 0x21E7CC, data size = 4, value: 0x2000299
READ of 0x11230004 at 0x21E8B4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21E8CE, data size = 4, value: 0x0
READ of 0x112300b0 at 0x21E8D0, data size = 4, value: 0x403c000e
WRITE of 0x112300b0 at 0x21E8EE, data size = 4, value: 0x403c0006
READ of 0x11230208 at 0x21E82C, data size = 4, value: 0xe88822
WRITE of 0x11230208 at 0x21E848, data size = 4, value: 0xe88822
READ of 0x112300b8 at 0x21E84E, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21E870, data size = 4, value: 0x3489180d
READ of 0x112300b0 at 0x21F2CE, data size = 4, value: 0x403c0006
WRITE of 0x112300b0 at 0x21F2F0, data size = 4, value: 0x403c000e
READ of 0x11230004 at 0x21F2F4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21F2FC, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EEA0, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EEC8, data size = 4, value: 0x3489180d
READ of 0x112300f0 at 0x21EECC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EED8, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEDC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEE2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEE4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEEA, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEEC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEF2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEF4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEFA, data size = 4, value: 0x0
READ of 0x112300f0 at 0x21EEFC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF24, data size = 4, value: 0x2000
READ of 0x112300f4 at 0x21EF28, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF30, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF34, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EF3C, data size = 4, value: 0x3489180d
READ of 0x11230004 at 0x21EF44, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EF4A, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF4C, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21EF54, data size = 4, value: 0x3489180d
READ of 0x112300f0 at 0x21EF58, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF60, data size = 4, value: 0x200000
READ of 0x112300f4 at 0x21EF64, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF6C, data size = 4, value: 0x0
READ of 0x11230208 at 0x21EF7A, data size = 4, value: 0xe88822
WRITE of 0x11230208 at 0x21EF82, data size = 4, value: 0xe88822
READ of 0x112300b4 at 0x21EF86, data size = 4, value: 0xffe24340
WRITE of 0x112300b4 at 0x21EFA0, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFA4, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21EFBE, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFC2, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21EFDC, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFE0, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F000, data size = 4, value: 0xffe20340
READ of 0x112300b8 at 0x21F004, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F078, data size = 4, value: 0x3489180d
READ of 0x112300b8 at 0x21F07C, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F09A, data size = 4, value: 0x3489180d
READ of 0x112300b4 at 0x21F09E, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F0A6, data size = 4, value: 0xffe24340
READ of 0x112300b8 at 0x21F0AA, data size = 4, value: 0x3489180d
WRITE of 0x112300b8 at 0x21F0B2, data size = 4, value: 0x3489180d
UART: 

[SD0] SET_CLK(52000kHz): SCLK(48000kHz) MODE(0) DDR(0) DIV(2) DS(0) RS(0)
UART: 

[mmc_init_card]: finish successfully
UC_MEM_FETCH_UNMAPPED of 0x0 at 0x0, data size = 1
__main__ - Emulation done.

Process finished with exit code 0
